business_id,name,display_name,label,phone_number,lat,lng,standby_days,category
36537744,iMRecords,,iMRecords,,37.5572198,126.9350161,0,no_domain_kw
1800230500,강동드럼 feel,,강동드럼 feel,,37.5309705,127.1215257,0,no_domain_kw
699083234,고미국악연구소,,고미국악연구소,,37.613198,126.9318543,0,no_domain_kw
1292176455,공간비틀즈,,공간비틀즈,,37.5550586,126.9284114,0,no_domain_kw
697587,그루브뮤직스튜디오,,그루브뮤직스튜디오,,37.5940504,127.0799167,0,no_domain_kw
38521455,기린뮤직,,기린뮤직,,37.5003551,127.1066153,0,no_domain_kw
1326175915,기타짐,,기타짐,,37.5922062,126.9066959,0,no_domain_kw
640980535,네뷸라 사운드 스튜디오,,네뷸라 사운드 스튜디오,,37.5421354,126.940723,0,no_domain_kw
1579005,더클라리넷스튜디오,,더클라리넷스튜디오,,37.6035172,126.9353113,0,no_domain_kw
1316982349,더퓨어컴퍼니,,더퓨어컴퍼니,,37.5171126,126.871282,0,no_domain_kw
2024377798,동행,,동행,,37.5032189,126.8915699,0,no_domain_kw
2068115530,디엑스이 스튜디오,,디엑스이 스튜디오,,37.5079777,127.0555281,0,no_domain_kw
37921750,라이브앤라우드 스튜디오,,라이브앤라우드 스튜디오,,37.5625833,126.921459,0,no_domain_kw
1555966,룸디,,룸디,,37.5937738,127.0188277,0,no_domain_kw
982490,리페어샵 신당,,리페어샵 신당,,37.5633948,127.0153577,0,no_domain_kw
223319,리페어앤라운지,,리페어앤라운지,,37.4841779,127.0399298,0,no_domain_kw
1579125585,릴리뮤직스튜디오,,릴리뮤직스튜디오,,37.5562671,126.9951902,0,no_domain_kw
1725006136,마리뮤직,,마리뮤직,,37.549743,127.090193,0,no_domain_kw
2019383451,모라스튜디오,,모라스튜디오,,37.5122515,127.0194348,0,no_domain_kw
1924462205,무아엔터테인먼트,,무아엔터테인먼트,,37.5356232,126.8619504,0,no_domain_kw
1163733227,문화공간 뮤직테라피,,문화공간 뮤직테라피,,37.5440801,127.0900253,0,no_domain_kw
1586657811,미스터시티 방음인테리어,,미스터시티 방음인테리어,,37.5490649,126.9247278,0,no_domain_kw
1850190741,민경록드럼아카데미,,민경록드럼아카데미,,37.6237112,126.9297492,0,no_domain_kw
1735025847,바이너리 스튜디오스,,바이너리 스튜디오스,,37.5572937,126.904007,0,no_domain_kw
1549576,방문 상담,방문 상담,방문 상담,,37.558489,126.9111318,0,no_domain_kw
1303060964,버니블랙 스튜디오,,버니블랙 스튜디오,,37.4434586,126.9041902,0,no_domain_kw
1740828488,범골 스튜디오,,범골 스튜디오,,37.5577668,126.9038424,0,no_domain_kw
38782400,벙커 버스터,,벙커 버스터,,37.5568033,126.9047495,0,no_domain_kw
1574159,브라운룸 야간할인 (00:00~06:00),브라운룸 야간할인 (00:00~06:00),브라운룸 야간할인 (00:00~06:00),,37.5491493,126.919526,0,no_domain_kw
1237990250,브람스앤리스트,,브람스앤리스트,,37.4816348,127.012975,0,no_domain_kw
1770792526,브이엠에스 스튜디오,,브이엠에스 스튜디오,,37.5496446,126.9156236,0,no_domain_kw
1485856,비욘드재즈스튜디오,,비욘드재즈스튜디오,,37.5788853,126.9231994,0,no_domain_kw
1299242872,산들바람 음악실,,산들바람 음악실,,37.4731404,127.0501146,0,no_domain_kw
1101142097,상승기류 뮤직하우스,,상승기류 뮤직하우스,,37.5519951,127.0090644,0,no_domain_kw
617173,생계형작업실,,생계형작업실,,37.5913189,127.0503896,0,no_domain_kw
1673612549,서머리트랙 스튜디오,,서머리트랙 스튜디오,,37.5559046,126.9254908,0,no_domain_kw
20820096,서울그랜드필하모닉오케스트라,,서울그랜드필하모닉오케스트라,,37.4831296,127.0098386,0,no_domain_kw
1966294225,서울생활문화센터 낙원,,서울생활문화센터 낙원,,37.5733753,126.9876575,0,no_domain_kw
393976661,성북천 음악소,,성북천 음악소,,37.5888048,127.01062,0,no_domain_kw
784413,세탁소아랫집,,세탁소아랫집,,37.5868354,127.010151,0,no_domain_kw
33860104,소울 라운지 스튜디오,,소울 라운지 스튜디오,,37.4803087,127.0389058,0,no_domain_kw
1378749,스튜디오 그린,,스튜디오 그린,,37.4741481,127.0487759,0,no_domain_kw
1157211270,스튜디오 샐룩스,,스튜디오 샐룩스,,37.5942649,127.0345808,0,no_domain_kw
1365726776,스튜디오메리 이수점,,스튜디오메리 이수점,,37.4896334,126.9818794,0,no_domain_kw
